id,created_at,text
667792911694757889,2015-11-20 19:53:31,#Purpose cupcakes. Thanks @bakedbymelissa  https://t.co/KAn4Snj8Ui
667727231704170496,2015-11-20 15:32:32,Make sure you get your #PURPOSETOUR tickets today for 1st leg https://t.co/G2VKo20VAz https://t.co/1LFqcoQO7S
667725541538050048,2015-11-20 15:25:49,RT @thatrygood: Love these guys. @justinbieber @scooterbraun https://t.co/vlCYTpLmV4
667725266559438848,2015-11-20 15:24:43,RT @jimmyfallon: .@justinbieber and I say hi with a #SecretHandshake https://t.co/gEuwCGeYzF #FallonTonight
667535504053637120,2015-11-20 02:50:41,RT @YouTube: .@justinbieber does carpool karaoke with @JKCorden. Isn’t it ironic? https://t.co/wUfB1nq9Na https://t.co/I5kmpTC93O
667530768063696898,2015-11-20 02:31:51,I don't know if everyone is ready for tonight and the #SecretHandshake @jimmyfallon :) https://t.co/yBKnaXnZ0E
667530600144764928,2015-11-20 02:31:11,RT @jimmyfallon: .@justinbieber respect (thanks for the bit tonight!) #PURPOSE #FallonTonight https://t.co/WEjvUQFUdD
667530487833845764,2015-11-20 02:30:45,Thank you Houston. U were amazing. And @trvisXX I met your family. Great people. #EveningWithJB
667499056122363904,2015-11-20 00:25:51,Beliebers... It's important that Those who got pre-sale for #PurposeWorldTour...Make sure u redeem ur codes to get #Purpose. Spread the word
667483054458302465,2015-11-19 23:22:16,Houston #EveningWithJB
667435475263741952,2015-11-19 20:13:12,Watching this again. @JKCorden loves his life in a fish bowl. Lol. #CarpoolKaraoke https://t.co/TdTyZQU4ra
667424641888165888,2015-11-19 19:30:09,I love u guys https://t.co/q2Mf2QSyzE
667423623976759297,2015-11-19 19:26:06,RT @BBCR1: We're pretty excited as @AnnieMac will be chatting to @justinbieber for the #HottestRecord tonight! Listen here 👂😍 https://t.co/…
667423481911463936,2015-11-19 19:25:32,RT @CapitalOfficial: It's the @JustinBieber Album Party Replay! Justin's playing tracks from #Purpose till 8PM! https://t.co/wICyIh2coR htt…
667423415230455808,2015-11-19 19:25:16,UK!! Big love to @anniemac and @bbcr1 for making my album #Purpose Hottest Record In The World tonight. U got the album? Thank u
667419914408435712,2015-11-19 19:11:22,RT @lyft: It's your last chance to buy @justinbieber's album #Purpose for just $5 in #LyftBieberMode: https://t.co/IUvvO1o2hP https://t.co/…
667406346191421440,2015-11-19 18:17:27,"UK! Want to meet me? I want to meet you :) Click below for a chance but hurry competition closes at midnight!
 
https://t.co/GCB97mbMcM"
667376185442238464,2015-11-19 16:17:36,UK! Tonight on @CapitalOfficial from 7pm 'Justin Bieber's Capital Album Party Replay'. Hear the tracks from #Purpose https://t.co/7wod0jkbDO
667375769740554241,2015-11-19 16:15:57,RT @CapitalOfficial: Catch @JustinBieber's Capital Album Party Replay from 7pm - with tracks from #Purpose AND our exclusive interview! htt…
667370810269659136,2015-11-19 15:56:14,"RT @AmazonMusicUK: RT, follow us &amp; enter for a chance to #win a skateboard signed by @justinbieber #purpose https://t.co/ugg6NQnLUK https:/…"
667350894552420356,2015-11-19 14:37:06,Here it is. The NEW #CarpoolKaraoke with @JKCorden @latelateshow -----&gt;  https://t.co/TdTyZQU4ra
667350711936659456,2015-11-19 14:36:23,"RT @benwinston: Here it is, just gone online. The sequel to carpool karaoke with @justinbieber https://t.co/GyhHbReSVt #CarpoolKaraoke"
667350679577567232,2015-11-19 14:36:15,RT @latelateshow: Hop in. It's time to go shopping with James and @justinbieber in our latest #CarpoolKaraoke! https://t.co/EBZEwhbJFv http…
667350540536426496,2015-11-19 14:35:42,New Album---&gt; https://t.co/ZWMJvgSRpV
667217731033407488,2015-11-19 05:47:58,RT @latelateshow: Get ready for #CarpoolKaraoke with @justinbieber in just a few minutes! 🚙🎉
667217180686204928,2015-11-19 05:45:46,About to do another #CarpoolKaraoke with @JKCorden on @cbs right now. Tune in. Thanks
667215523256664064,2015-11-19 05:39:11,RT @TheJKCrew: IT IS TIME FOR @latelateshow !!!!! And only a few minutes until a brand new carpool karaoke with @justinbieber!!! TURN YOUR …
667171734118797312,2015-11-19 02:45:11,Tonight we are back at it again. carpool karaoke with @jkcorden on the @latelateshow #littleboxbigboxcardboardbox https://t.co/L2xt0p6bXB
667161171640713217,2015-11-19 02:03:13,RT @mikechester: #EveningwithJB #Chicago @ Allstate Arena https://t.co/AkhHf0vM36
667160691242082305,2015-11-19 02:01:18,Let's do this @JKCorden  https://t.co/x9xusAsC6m
667160585298120704,2015-11-19 02:00:53,"RT @latelateshow: TONIGHT: @AnthonyMackie, @rainnwilson and a brand new #CarpoolKaraoke with @justinbieber!"
667159522285342721,2015-11-19 01:56:39,Chitown that was special. Thank you. Let's make a change together. #EveningWithJB
667128901664030720,2015-11-18 23:54:59,Chicago get ready. #EveningWithJB #purpose
667128794809954304,2015-11-18 23:54:33,Thanks for coming out @B96Chicago and @1035KISSFM here we go. #EveningWithJB
667128584448774144,2015-11-18 23:53:43,"RT @SB_Projects: Big box, little box, cardboard box 📦

New @latelateshow #CarpoolKaraoke tonight! https://t.co/XLZv4rjGdY"
667116829693734912,2015-11-18 23:07:01,"I'm voting for ""Where Are U Now"" for #AMAs Collaboration of the Year because I love @Skrillex and @diplo :) https://t.co/HXJk6ZXxOz"
667116583190302720,2015-11-18 23:06:02,No chill. Lol.  https://t.co/2T053SfpBR
667116328440885254,2015-11-18 23:05:01,RT @MTV: Will I ever get over @JustinBieber + @Halsey's performance of #TheFeeling? (No.) https://t.co/nBDdhrMVVa https://t.co/6BfpKEgJtH
667116241631363075,2015-11-18 23:04:41,Thank u for being there. #realfriend  https://t.co/L7KMuyDSzq
667116148035457024,2015-11-18 23:04:18,"RT @BigSean: Today Show #NoPressure 
https://t.co/Zd14tpyfLg https://t.co/Mku0K5ay7W"
667093436345016320,2015-11-18 21:34:03,Yep https://t.co/bppyoOfBjL
667093300801851392,2015-11-18 21:33:31,Just had fun skating in Chicago. Thanks to the people who allowed me to just have fun and be normal (kind of) for a little :) #chitown
667078812392415232,2015-11-18 20:35:57,Chicago. #eveningwithJb #purpose https://t.co/L0mKZ1kvFC
667064009820999680,2015-11-18 19:37:08,Playing more new tracks from #purpose on @CapitalOfficial now. Listen - https://t.co/7wod0j2Afe  #BieberOnCapital https://t.co/GlHIuFRnVi
667047555520417792,2015-11-18 18:31:45,I’m taking over @CapitalOfficial from 7pm (UK Time) w/@RomanKemp. Check it out here - https://t.co/7wod0jkbDO  #BieberOnCapital #Purpose
667029049903042560,2015-11-18 17:18:12,This is one of my favorite TV performances. Last night on @FallonTonight ---&gt; https://t.co/25egy1z9TZ
667026976989933568,2015-11-18 17:09:58,Thanks nyc. Chicago tonight 🚀
667026713877078016,2015-11-18 17:08:56,Favorite song? #PURPOSE https://t.co/ZWMJvgSRpV
667026469416280065,2015-11-18 17:07:57,Followed. Ha. Talk to u and the UK soon. #PURPOSE https://t.co/D436xfCIeU
667026383386886144,2015-11-18 17:07:37,RT @romankemp: At 7pm I've got a cyber-date with @justinbieber 😝
667026248024137729,2015-11-18 17:07:04,UK tonight  https://t.co/AkoI31yKxl
667023367120228352,2015-11-18 16:55:38,@CapitalOfficial im ready. #purpose
667023201839529985,2015-11-18 16:54:58,RT @CapitalOfficial: 7PM - @JustinBieber is live from NYC hosting his very own album party! 😁 https://t.co/wICyIh2coR #BieberOnCapital http…
667018769412268032,2015-11-18 16:37:21,#Zoolander2 https://t.co/ubryPQmn05
667000778897379328,2015-11-18 15:25:52,RT @TODAYshow: .@TamronHall got a special surprise from one @JustinBieber during Pop Fix! #BieberTODAY https://t.co/eQNGtUoaDz
667000664959135745,2015-11-18 15:25:25,"RT @TODAYshow: Whoa! Hey there, @halsey! #BieberTODAY #Purpose https://t.co/l9FwZh4lYD"
667000579512786945,2015-11-18 15:25:05,Thank u to @halsey and @BigSean for coming out today and showing love at the @TODAYshow
667000361765457920,2015-11-18 15:24:13,@SevianFrangipan I got u. #protectivebro @halsey :)
666962492342562816,2015-11-18 12:53:44,It's time. @todayshow right now. #purpose and I brought friends with me @halsey @bigsean https://t.co/tHT56AL1C7
666942144561704960,2015-11-18 11:32:53,Wake up motha #%%%%%% #biebertoday https://t.co/4y7M662MZM
666927301381091328,2015-11-18 10:33:54,Last night a little #sorry on @jimmyfallon @FallonTonight  https://t.co/25egy1QKLx
666926898438516736,2015-11-18 10:32:18,I see u guys camping out. I love u #beliebers. See u soon. #BieberTODAY https://t.co/UgS4AUTQgY
666926735863054336,2015-11-18 10:31:39,@latelateshow see u tonight bro
666926637145919488,2015-11-18 10:31:15,RT @latelateshow: RETWEET If you're excited for tomorrow's #CarpoolKaraoke with @justinbieber!! https://t.co/4soHwCNRKE
666838401807745024,2015-11-18 04:40:38,Time to sing. @jimmyfallon @FallonTonight on now. Thanks. #purpose https://t.co/MlWjrB3OyH
666828251399081984,2015-11-18 04:00:18,They are right. Tomorrow is a celebration! @TODAYshow #BieberTODAY #PURPOSE  https://t.co/jXGwKPQJL4
